oid,typname,typnamespace,typowner,typlen,typbyval,typtype,typcategory,typispreferred,typisdefined,typdelim,typrelid,typsubscript,typelem,typarray,typinput,typoutput,typreceive,typsend,typmodin,typmodout,typanalyze,typalign,typstorage,typnotnull,typbasetype,typtypmod,typndims,typcollation,typdefaultbin,typdefault,typacl
16,bool,11,10,1,t,b,B,t,t,",",0,-,0,1000,boolin,boolout,boolrecv,boolsend,-,-,-,c,p,f,0,-1,0,0,,,
17,bytea,11,10,-1,f,b,U,f,t,",",0,-,0,1001,byteain,byteaout,bytearecv,byteasend,-,-,-,i,x,f,0,-1,0,0,,,
18,char,11,10,1,t,b,Z,f,t,",",0,-,0,1002,charin,charout,charrecv,charsend,-,-,-,c,p,f,0,-1,0,0,,,
19,name,11,10,64,f,b,S,f,t,",",0,raw_array_subscript_handler,18,1003,namein,nameout,namerecv,namesend,-,-,-,c,p,f,0,-1,0,950,,,
20,int8,11,10,8,t,b,N,f,t,",",0,-,0,1016,int8in,int8out,int8recv,int8send,-,-,-,d,p,f,0,-1,0,0,,,
21,int2,11,10,2,t,b,N,f,t,",",0,-,0,1005,int2in,int2out,int2recv,int2send,-,-,-,s,p,f,0,-1,0,0,,,
23,int4,11,10,4,t,b,N,f,t,",",0,-,0,1007,int4in,int4out,int4recv,int4send,-,-,-,i,p,f,0,-1,0,0,,,
25,text,11,10,-1,f,b,S,t,t,",",0,-,0,1009,textin,textout,textrecv,textsend,-,-,-,i,x,f,0,-1,0,100,,,
26,oid,11,10,4,t,b,N,t,t,",",0,-,0,1028,oidin,oidout,oidrecv,oidsend,-,-,-,i,p,f,0,-1,0,0,,,
700,float4,11,10,4,t,b,N,f,t,",",0,-,0,1021,float4in,float4out,float4recv,float4send,-,-,-,i,p,f,0,-1,0,0,,,
701,float8,11,10,8,t,b,N,t,t,",",0,-,0,1022,float8in,float8out,float8recv,float8send,-,-,-,d,p,f,0,-1,0,0,,,
1000,_bool,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,16,0,array_in,array_out,array_recv,array_send,-,-,array_typanalyze,i,x,f,0,-1,0,0,,,
1001,_bytea,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,17,0,array_in,array_out,array_recv,array_send,-,-,array_typanalyze,i,x,f,0,-1,0,0,,,
1002,_char,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,18,0,array_in,array_out,array_recv,array_send,-,-,array_typanalyze,i,x,f,0,-1,0,0,,,
1003,_name,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,19,0,array_in,array_out,array_recv,array_send,-,-,array_typanalyze,i,x,f,0,-1,0,950,,,
1005,_int2,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,21,0,array_in,array_out,array_recv,array_send,-,-,array_typanalyze,i,x,f,0,-1,0,0,,,
1007,_int4,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,23,0,array_in,array_out,array_recv,array_send,-,-,array_typanalyze,i,x,f,0,-1,0,0,,,
1009,_text,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,25,0,array_in,array_out,array_recv,array_send,-,-,array_typanalyze,i,x,f,0,-1,0,100,,,
1014,_bpchar,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,1042,0,array_in,array_out,array_recv,array_send,bpchartypmodin,bpchartypmodout,array_typanalyze,i,x,f,0,-1,0,100,,,
1015,_varchar,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,1043,0,array_in,array_out,array_recv,array_send,varchartypmodin,varchartypmodout,array_typanalyze,i,x,f,0,-1,0,100,,,
1016,_int8,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,20,0,array_in,array_out,array_recv,array_send,-,-,array_typanalyze,d,x,f,0,-1,0,0,,,
1021,_float4,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,700,0,array_in,array_out,array_recv,array_send,-,-,array_typanalyze,i,x,f,0,-1,0,0,,,
1022,_float8,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,701,0,array_in,array_out,array_recv,array_send,-,-,array_typanalyze,d,x,f,0,-1,0,0,,,
1028,_oid,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,26,0,array_in,array_out,array_recv,array_send,-,-,array_typanalyze,i,x,f,0,-1,0,0,,,
1042,bpchar,11,10,-1,f,b,S,f,t,",",0,-,0,1014,bpcharin,bpcharout,bpcharrecv,bpcharsend,bpchartypmodin,bpchartypmodout,-,i,x,f,0,-1,0,100,,,
1043,varchar,11,10,-1,f,b,S,f,t,",",0,-,0,1015,varcharin,varcharout,varcharrecv,varcharsend,varchartypmodin,varchartypmodout,-,i,x,f,0,-1,0,100,,,
